query_id	query_string	domain_id
query879	"cyber bully"	GOV
query485	"cost of living allowance"	GOV
query1122	"as cold as"	GOV
query337	"oil <companies>"	GOV
query312	Tagalog,election	GOV
query336	"electricity shortage"	GOV
query355	crab	GOV
query414	"terrorist group"	GOV
query341	rain,wind	GOV
query1923	giggle[hyp:to laugh]	GOV
query894	Masbate,election	GOV
query1902	corruption,contractual	GOV
query1414	"their own nation"	GOV
query433	Cebu,interview	GOV
query1255	anchorage	GOV
query405	airplane,Japanese	GOV
query1895	mastermind[syn:planner],syndicate[syn:gang]	GOV
query359	<buildings>	GOV
query109	"drinking alcohol"	GOV
query1150	workmanship	GOV
query1263	"as fast as lightning"	GOV
query1119	Samar,fisherman	GOV
query368	"wet by rain"	GOV
query747	"police dog"	GOV
query1144	bible[evf:religion],story	GOV
query461	"white shirt"	GOV
query1772	"capital punishment"	GOV
query540	Sulu	GOV
query1261	"puppet state"	GOV
query1373	Chinese,governor	GOV
query756	"native language"	GOV
query881	"broken window"	GOV
query830	"former President's birthday"	GOV
query1884	"provincial council",formal[syn:official]	GOV
query3987	"ghost <projects>"	GOV
query460	information,drug	GOV
query1963	culture[evf:arts and humanities],student	GOV
query614	"their income"	GOV
query464	"election results"	GOV
query3107	paranoid	GOV
query441	money,church	GOV
query481	"recycle trash"	GOV
query114	hospital,Manila	GOV
query1241	terminology	GOV
query103	"Communist rebel"	GOV
query1007	vital[syn:important],operation[syn:function]	GOV
query3598	"<drank> coffee"	GOV
query2216	systematization	GOV
query933	"they are not sadists"	GOV
query1301	transfer,title[evf:property]	GOV
query781	"street children"	GOV
query533	"their blood"	GOV
query2207	"livelihood assistance"	GOV
query2292	Imelda	GOV
query620	wall[evf:barrier]	GOV
query307	"one hundred thousand pesos"	GOV
query137	"Maoist insurgency"	GOV
query1371	"books for children"	GOV
query366	elitist	GOV
query1068	jeepney,passenger	GOV
query363	"president's spokesperson"	GOV
query1753	Riyadh	GOV
query1523	"travel to America"	GOV
query4181	Tago[hyp:name]	GOV
query338	"oil supply"	GOV
query313	election,machine	GOV
query3968	"Eunice Samonte"	GOV
query528	"security threat"	GOV
query188	Chinese,fisherman	GOV
query471	"judicial system"	GOV
query1288	"responsible individual"	GOV
query1473	"pirated DVD"	GOV
query779	bedbug	GOV
query1078	boycott	GOV
query419	privatization,water	GOV
query2559	"Department of Health",<vaccinated>	GOV
query742	"war on drugs"	GOV
query1303	"social security",contribution	GOV
query306	Palawan,program	GOV
query1109	"victim's corpse"	GOV
query523	"until Sunday"	GOV
query1391	Paris,cave[syn:cavern]	GOV
query392	deployment	GOV
query673	"sufficient evidence"	GOV
query435	"illegal mining"	GOV
query139	Ilocano,butterfly	GOV
query1810	"land reform"	GOV
query434	"tourism industry"	GOV
query4273	<advisers>	GOV
query1052	"childrens' rights"	GOV
query1577	Davao,"100 new teachers"	GOV
query1834	rag[syn:wiping cloth]	GOV
query1237	Laoag,"severe heat"	GOV
query123	tax,speech[syn:oration]	GOV
query1021	world,crisis	GOV
query174	"I'm afraid",boycott	GOV
query494	"martial law victim"	GOV
query1128	anomaly,bridge	GOV
query4373	"poorest <families>"	GOV
query661	Duterte,friendship	GOV
query503	"many reasons"	GOV
query345	infrastructure,program	GOV
query408	mermaid	GOV
query1316	efficient	GOV
query904	fireman	GOV
query4365	firecracker,"factory fire"+	GOV
query1476	soldier+,cowardly	GOV
query509	"water supply",EXAMPLE_OF(project)	GOV
query825	"San Fernando","energy supply"+	GOV
query1460	"peace talks"+,closure	GOV
query339	oil,mining+	GOV
query1451	Bayombong,agriculture+	GOV
query1240	Mandaluyong,"real estate"+	GOV
query1940	fireworks+,music	GOV
query4322	"sea turtle",fishing+	GOV
query1603	scam,royalty+	GOV
query1459	election+,integrity	GOV
query1112	Tuguegarao,EXAMPLE_OF(animal)	GOV
query1318	Ilocano,gunfire+	GOV
query1428	advertisement+,newspaper	GOV
query1594	onion,smuggling+	GOV
query1274	Tagum,murder+	GOV
query1302	prosecution+,examination[syn:inquiry]	GOV
query1155	Aklan,"natural disaster"+	GOV
query880	cyber,crime+	GOV
query1108	Vigan,agriculture+	GOV
query1430	signature+,correspondent	GOV
query1278	"El Nido",tourism+	GOV
query1158	Angeles,prostitution+	GOV
query4328	eggplant,"genetic engineering"+	GOV
query1312	deregularization,education+	GOV
query1105	Kalibo,"sex crime"+	GOV
query1457	Pepsi,corruption+	GOV
query1106	Bacolod,"social media"+	GOV
query1311	deregularization,energy+	GOV
query4363	EXAMPLE_OF(aquatic mammal)	GOV
query3821	"milking cows"+[evf:dairy]	GOV
query3221	EXAMPLE_OF(dairy products)	GOV
query3422	"using condoms as balloons"+	GOV
query3895	EXAMPLE_OF(camelid)	GOV
query1050	bootlicker+	GOV
query3408	"cocaine arrest"+	GOV
query3865	"polio vaccination"+	GOV
query3354	EXAMPLE_OF(crustacean)	GOV
query3891	EXAMPLE_OF(nonhuman primate)	GOV
query1579	"Spanish occupation"+	GOV
query585	"fake government official"+	GOV
query3356	EXAMPLE_OF(amphibian)	GOV
query3753	"planting okra"+	GOV
query3613	"sardine food production"+	GOV
query1330	cat,"leftover food"	LIF
query1567	Youtube	LIF
query990	"banana leaf"	LIF
query2049	math	LIF
query3306	napkin	LIF
query1376	"full of charcoal"	LIF
query1758	canal[hyp:waterway]	LIF
query991	adobo,beef	LIF
query1759	"youngest sister"[hyp:female]	LIF
query3302	"salty egg"	LIF
query416	salary,teacher	LIF
query753	light[evf:weight]	LIF
query1591	roof	LIF
query330	"uniformed police"	LIF
query439	vinegar	LIF
query1388	"stinky air"	LIF
query113	"water buffalo"	LIF
query1715	"can you go now"	LIF
query2557	<fed>	LIF
query573	"your neighbor"	LIF
query1248	ridiculous,soul	LIF
query922	chair[hyp:furniture],book	LIF
query1839	octopus	LIF
query771	pomelo	LIF
query455	"national language"	LIF
query1905	adventure	LIF
query117	"August 29"[hyp:date]	LIF
query357	"my <classmates>"	LIF
query1037	"most venomous"	LIF
query2044	"bay leaf"	LIF
query961	"traffic light"	LIF
query834	"tall or short"	LIF
query1692	agent[syn:middleman]	LIF
query774	sole[evf:foot]	LIF
query332	"Barangay Mangingisda"	LIF
query2078	shark	LIF
query930	earring	LIF
query1938	fork[hyp:utensil]	LIF
query1395	playful	LIF
query525	song	LIF
query2047	peacock	LIF
query1272	"clean air"	LIF
query754	"ice cream"	LIF
query2294	guava	LIF
query559	"roast chicken"	LIF
query1682	mirror[syn:reflecting surface]	LIF
query1833	seashore	LIF
query966	Christian,"die of hunger"	LIF
query1196	watermelon	LIF
query813	Lukban	LIF
query532	tweet	LIF
query2043	"Filipino literature"	LIF
query1463	principle	LIF
query948	neck,tomorrow	LIF
query736	"beef broth"	LIF
query1273	muddy,rain	LIF
query960	"light traffic"	LIF
query1580	superstition	LIF
query422	"societal change"	LIF
query1380	plastic,fork[hyp:utensil]	LIF
query1757	controversial,question[syn:inquiry]	LIF
query557	"crab mentality"	LIF
query3818	"you're like a frog"	LIF
query3102	"Java plum"	LIF
query100	garlic,pepper	LIF
query2117	Chavacano	LIF
query1690	guard[syn:watchman],house	LIF
query788	duty,teacher	LIF
query1742	announce,"three days"	LIF
query1347	"ray of the sun"	LIF
query172	summer	LIF
query1623	blanket,clothes	LIF
query717	four[hyp:cardinal number],wheel	LIF
query1661	situation[syn:circumstance],creator	LIF
query938	cassava	LIF
query1584	tilapia	LIF
query943	toothbrush	LIF
query561	"fighting cock"	LIF
query1276	Butuan,challenge	LIF
query1440	lizard,ceiling	LIF
query1047	"Christmas Eve"	LIF
query1398	"sister Adela"	LIF
query945	monkey[hyp:animal]	LIF
query1618	beer	LIF
query953	wood,root	LIF
query1295	trusted,friend	LIF
query1959	dictionary	LIF
query1035	"snake design"	LIF
query1345	"pencil with an eraser"	LIF
query1386	<crabs>	LIF
query527	Japanese,Spanish	LIF
query606	foil[hyp:sheet metal]	LIF
query1636	"wheel chair"	LIF
query822	apple[hyp:fruit]	LIF
query1162	curtain	LIF
query1686	"I don't understand you"	LIF
query869	"enemy of the <rats>"	LIF
query971	dry,river	LIF
query560	"chicken feet"	LIF
query427	music,dance	LIF
query789	"no justice"	LIF
query790	"very rich"	LIF
query1346	"cheapest tuition"	LIF
query969	"cross the street"	LIF
query1379	"my piano teacher"	LIF
query1574	Koronadal,construction+	LIF
query1206	garlic,"food preparation"+	LIF
query1123	yellow[evf:color],parade+	LIF
query1252	corn[hyp:cereal],planting+	LIF
query1329	Tondo,celebration+	LIF
query1242	Naga,transportation+	LIF
query410	"salary increase",EXAMPLE_OF(medical professional)	LIF
query1795	Romblon,ordinance+[syn:decree]	LIF
query158	liver,disease+	LIF
query1431	magazine+,essay	LIF
query1077	traffic+,Intramuros	LIF
query1113	baptism,EXAMPLE_OF(vehicle)	LIF
query1156	mermaid,"warning sign"+	LIF
query1114	Surigao,church+	LIF
query1322	haircut,price+	LIF
query1154	widow[syn:widower],earnings+	LIF
query1117	"black pepper",EXAMPLE_OF(animal)	LIF
query1171	smoking,disease+	LIF
query1292	person+,extraordinary	LIF
query1130	shrimp,cooking+	LIF
query1416	fruit+[evf:plants],oval	LIF
query569	vegetables,planting+	LIF
query168	storm,damage+	LIF
query1315	Cebu,graduation+	LIF
query1208	Pampanga,food+	LIF
query1314	Cebu,"gun making"+	LIF
query1217	Tabuk,irrigation+	LIF
query1344	Pagsanjan,food+	LIF
query1205	ginger,"food preparation"+	LIF
query1213	hair[evf:head],clothes+	LIF
query4335	"cooking gelatin"+	LIF
query4330	"cooking with asparagus"+	LIF
query1267	"first day of class"+	LIF
query2194	"electric fan"+	LIF
query671	sewing+	LIF
query4332	"marketing goats"+[evf:buying or selling]	LIF
query936	EXAMPLE_OF(parts of plant)[evf:botany]	LIF
query2625	"snacking at work"+	LIF
query1260	Lent+	LIF
query2260	leprosy+	LIF
query4326	"planting eggplant"+	LIF
query4347	"night swimming"+	LIF
query4119	"cooking with pineapple"+	LIF
query4349	"sardines with taro"+	LIF
query2704	"jogging clothes"+	LIF
