query_id	query_string	domain_id
query1925	"end of the year exams"	GOV
query2486	insect	GOV
query3530	"blood pressure"[hyp:medical condition]	GOV
query3637	"<broadcasted> live[syn:in real time]"	GOV
query3772	<lungs>[hyp:body part]	GOV
query1236	"ankle bells"	GOV
query3011	spy[hyp:person],bomb[hyp:explosive]	GOV
query482	"road accident"	GOV
query3532	reduce[syn:curtail],accident[syn:mishap]	GOV
query478	"British colonies"	GOV
query1997	"city council"	GOV
query1528	Bungoma,factory	GOV
query1930	rebuild	GOV
query1824	sustainability,motorcycle	GOV
query3993	"commit suicide"[syn:self murder],gun[hyp:weapon]	GOV
query1637	"Al Bashir",president	GOV
query1980	"sunflower oil"	GOV
query1899	crown[hyp:headgear]	GOV
query1916	garbage,ladder	GOV
query2012	church	GOV
query1412	publicity,protest	GOV
query1904	"Red Cross"[hyp:aid organization]	GOV
query1639	Ugandan[syn:person from Uganda]	GOV
query1539	Brazil,refugee	GOV
query1554	Shimoni,"political refugees"	GOV
query1056	poem	GOV
query1820	breakfast	GOV
query1903	snow	GOV
query1634	port[syn:harbor]	GOV
query1424	library[evf:books]	GOV
query1648	arrow	GOV
query3609	"peace treaty"[syn:peace agreement],law	GOV
query1908	cockroach	GOV
query1053	foolish	GOV
query1617	bottle[hyp:container]	GOV
query375	news,weather	GOV
query483	by-election	GOV
query3485	hammer[hyp:hand tool]	GOV
query3998	"<made> tired"	GOV
query1408	picture[syn:photograph],hotel	GOV
query1626	"sugar factory"	GOV
query3539	invitation[syn:request to attend],formal[syn:official]	GOV
query2270	fickle	GOV
query1641	orange[hyp:fruit],wisdom	GOV
query4035	<abstained>[syn:hold back from doing]	GOV
query1532	Singapore,pig	GOV
query1901	soccer	GOV
query1443	club[syn:association],match[evf:competition]	GOV
query1057	"improve transportation"	GOV
query2022	bilharzia	GOV
query1802	rent,house	GOV
query1852	horse[hyp:animal]	GOV
query1787	shield[hyp:armor]	GOV
query3564	planet	GOV
query2985	favor[syn:boon]	GOV
query1964	motorcycle	GOV
query3261	band[evf:music]	GOV
query1405	drugs[hyp:illicit substances]	GOV
query3793	donut[hyp:food]	GOV
query480	gun	GOV
query468	coffee[hyp:beverage]	GOV
query3515	stage[syn:arena],"South Africa"	GOV
query2015	ghost[syn:spirit]	GOV
query3814	cheetah	GOV
query4344	fertilize[syn:apply nutrients],soil[syn:ground]	GOV
query1635	paradise	GOV
query1465	"public enterprise"	GOV
query1792	ditch[syn:trench]	GOV
query1910	tire[evf:cars]	GOV
query1816	pineapple[hyp:fruit]	GOV
query1999	municipal	GOV
query1541	Sahara,"infant mortality"	GOV
query4030	<matches>[hyp:lighter]	GOV
query1631	face[syn:visage],earth[syn:world]	GOV
query1444	pipes[syn:water conduit],pressure[hyp:physical force]	GOV
query3049	root[syn:source]	GOV
query1954	deforestation	GOV
query2000	"deputy mayor"	GOV
query2684	"national team"	GOV
query3700	"earthen cooking pot",water[hyp:liquid]	GOV
query2908	"toothless person"	GOV
query2021	elephantiasis	GOV
query1644	crisis,solution[syn:answer]	GOV
query1419	"small group",party[evf:politics]	GOV
query472	factory,strike[evf:labor]	GOV
query3044	childhood	GOV
query2234	pilot[syn:aviator]	GOV
query2002	ledger[syn:account book]	GOV
query1817	rabbit	GOV
query484	"stock exchange"	GOV
query1638	bishop[hyp:religion]	GOV
query1406	"vice president"	GOV
query1421	"the most important thing"	GOV
query1645	knife	GOV
query1404	fish[hyp:animal]	GOV
query1988	bishop[evf:religion]	GOV
query1851	pork[hyp:pig meat]	GOV
query1409	ambassador,camera	GOV
query1975	marijuana	GOV
query2020	worms[hyp:parasite]	GOV
query3518	congratulation[syn:felicitation],USA	GOV
query1647	salute[hyp:formal gesture]	GOV
query1054	"secret service"	GOV
query1096	flashlight	GOV
query3360	<museums>	GOV
query3835	telescope,evaluation+	GOV
query1924	albinos+,clinic[syn:hospital]	GOV
query1461	Mogadishu,farming+	GOV
query1086	imports+,chalk[evf:chalkboard]	GOV
query3905	Russia,sanctions+	GOV
query1600	Babati,"dairy production"+	GOV
query4357	"green revolution",imperialism+	GOV
query1850	HPV+,circumcision	GOV
query4103	"tear gas","dispersing crowds"+	GOV
query1551	Kakamega,"political campaigning"+	GOV
query1572	Tunduma,embezzlement+	GOV
query1981	cancer+[hyp:disease],skin[hyp:anatomy]	GOV
query1244	dinner+,cup	GOV
query1797	poverty+,milk	GOV
query4301	intersection[syn:crossroads],accident+	GOV
query1933	boxing+[evf:sports],shoes[hyp:footwear]	GOV
query1537	Clinton,apology+	GOV
query1847	enemy+,fly[hyp:insect]	GOV
query1913	pollution+,needle[evf:medicine]	GOV
query493	transportation+,boat[hyp:vessel]	GOV
query2566	Kisumu,funeral+	GOV
query4096	"sugar factory",produce+	GOV
query1943	disability+,crocodile	GOV
query4406	brick[syn:cinder block],construct+[syn:build]	GOV
query1014	building+[syn:constructing],"Ummy Mwalimu"	GOV
query1083	education+,"make noise"	GOV
query2620	liberation+,Chad	GOV
query1814	flooding+,goat[hyp:animal]	GOV
query1927	India,weapon+	GOV
query3901	"terms of reference",investigation+	GOV
